review_status,doug_checked,carol_checked,exclude,excl_reason,incl_scr,incl_delphi,review_group,term_name,term_label,scr_def,delphi_def,working_def,def_doug,term_description,term_background,eval_methods,team_notes,scr_is_a,scr_relationships,scr_exact_synonym,scr_broad_synonym,delphi_is_a,delphi_relationships,delphi_exact_synonym,delphi_broad_synonym,delphi_see_also,data_visualization_related,obo_id,uri,terms_example,ontology,last_updated,Data quality,version
Review complete (discussed),TRUE,TRUE,FALSE,N/A,TRUE,FALSE,6,caseDefinition,Case definition,The standard set of criteria used to identify and classify cases or events for consistent reporting and analyses within a surveillance system.,N/A,Validity and relevance of selected case definitions and the method used for their identification.,"A standardized set of criteria used to determine whether an individual should be classified as having a particular disease, condition, or health event for surveillance purposes.","The case definition affects surveillance system performance by determining how accurately and consistently cases are identified and classified. A well-designed case definition supports accurate and consistent detection, improving the quality of the data collected. It directly influences terms like sensitivity, specificity, representativeness, and coverage, and plays a role in determining the system’s cost, acceptability, and flexibility. Clear defined definition may also improve consistency across sites and over time.",The concept of case definition was identifed five times throughout our scoping review.,"Qualitative assessment methods have been used to evaluate this concept, such as the use of the EVARISK tool.","To report for ScR, fold under other for Delphi - to be reported under the system description component in the Delphi.",attribute,Parent: Data collection?,N/A,N/A,N/A,Parent: Data collection?,N/A,N/A,bias (case detection),"coverage, representativeness, sensitivity, acceptability, cost, flexibility, consistency, sensitivity, specificity, data collection",,,,,45846,,0.2
Consensus [Reviewed - Exclude],FALSE,FALSE,TRUE,Exclude (including paper) - not relevant to our context,FALSE,FALSE,3,,Coherence,,,The link between the different components and the development stages of a surveillance system.,The degree to which surveillance data and methods are consistent across different components of the system and compatible with other relevant data sources and health information systems.,N/A,,,To exlclude as a reported concept and potentially the paper that it came from.,,,N/A,N/A,,,N/A,N/A,"Compatibility, integration, interoperability","Compatibility, integration, interoperability",,,,,,,
Review pending,FALSE,TRUE,FALSE,N/A,TRUE,TRUE,13,collaboration,Collaboration,"The active engagement and coordination among diverse partners and end-users to facilitate exchange of data, information, and knowledge, sharing of capacities, and collaborative implementation of surveillance activities.","Refers to the active engagement of diverse stakeholders and end-users, to facilitate the exchange of data, information, and knowledge, ensuring inclusive participation.",TBD,N/A,"Collaboration in surveillance systems relies on clear roles, strong legal frameworks, and established inter-sectoral mechanisms. It occurs in four main areas: governance across sectors (health, animal, environment), decision-making at all levels (local to international), interdisciplinary efforts (biosciences, social sciences, engineering), and public-private partnerships (e.g., veterinary companies in antimicrobial resistance). Effective data exchange and a shared databases enhance collaboration. [still working on this one somewhat since multiple terms are being folded into this].",TBD,TBD,To maybe have sub-attributes for this that are more specific.,attribute,"Parent: TBD, Child: TBD",partnerships,N/A,,"Parent: TBD, Child: TBD",partnerships,N/A,"acceptability and engagement, governance","acceptability and engagement, mutual benefit, governance, communication and dissemination",,,,,,,0.1
Review pending,FALSE,TRUE,FALSE,N/A,TRUE,TRUE,13,communicationAndDissemination,Communication and dissemination,The ability of the system to deliver information and data in a clear and distinct manner to relevant stakeholders inside and outside of the surveillance system.,The ability of the system to deliver information and data in a clear and distinct manner to relevant stakeholders inside and outside of the surveillance system.,"An assessment of the methods and ease of information exchange between people involved at all levels of the surveillance system (providers, analysers and users of surveillance data) including an assessment of the information provided, timeliness, types of outputs and a description of the efforts made to disseminate the surveillance information.

The effective, systematic distribution of surveillance findings to relevant stakeholders, including public health officials, healthcare providers, and the general public, in a timely and understandable manner.","An assessment of the methods and ease of information exchange between people involved at all levels of the surveillance system (providers, analysers and users of surveillance data) including an assessment of the information provided, timeliness, types of outputs and a description of the efforts made to disseminate the surveillance information.

The effective, systematic distribution of surveillance findings to relevant stakeholders, including public health officials, healthcare providers, and the general public, in a timely and understandable manner.","Effective communication and dissemination in surveillance systems involve sharing clear, relevant, and timely information with all stakeholders, actors, and end-users (both internally and externally). Surveillance data outputs must meet the needs of diverse users, including data providers, analysts, decision-makers, and the public. Outputs should be accessible, frequent, and based on up-to-date, high-quality data with clear explanations of limitations and biases. Communication and disseminationis is also closely linked to acceptability, timeliness, impact, and collaboration.",TBD,TBD,N/A,attribute,"Parent: TBD, Child: TBD",N/A,N/A,,"Parent: TBD, Child: TBD",N/A,N/A,collaboration,"assessibility (data), acceptability and engagement,  governance, collaboration, transparency, usability, impact",,,,,,,0.1
Consensus [Reviewed],FALSE,FALSE,TRUE,Exact synonym,FALSE,FALSE,3,compatibility,Compatability,"Compatibility with and ability to integrate data from other sources and surveillance components, e.g., one health surveillance (part of data collection and data management) (Peyre 2019, Peyre 2022).",,TBD,"The ability of the surveillance system to work seamlessly with other health information systems, databases, and technologies used in public health practice.",N/A,,,N/A,,TBD,N/A,Integration,,TBD,N/A,Integration,"Coherence, interoperability","Coherence, interoperability",,,,,,,
Reviewed - finalization pending discussion of ascertainment performance,TRUE,TRUE,FALSE,N/A,TRUE,TRUE,9,dataCompleteness,Data completeness,The proportion of data that were intended to be collected that actually was collected.,The proportion of data that were intended to be collected that actually was collected.,Refers to the proportion of complete data fields or values within datasets of the surveillance system.,The degree to which all required data elements are present and accurately recorded for each case or event in the surveillance system.,"Completeness refers to the extent to which all required data are captured, reported, and available for analysis. A system with high completeness allows for more reliable decision-making and enhances the system's usefulness. Incomplete data may result from issues with data collection, management, or communication, undermining the system's effectiveness. Regular submission from all contributors and strong data management practices help improve completeness. Ensuring completeness strengthens data quality.","Completeness was identified as an independent concept on 12 occassions, distinct from the definitions of ""data quality"" or ""data completeness and correctness"". The concept was first introduced by Thacker et al., in 1988 (A method for evaluating systems of epidemiological surveillance), however it was not indentified as an evaluation concept until 1993 by Cutts et al. The definition of completeness has remained largely unchanged over the years, maintaining consistency across disciplines. It is primarily regarded as a key aspect of data quality and continues to be one of the most frequently used concepts for evaluating surveillance systems.","An evaluation of completeness should involve assessing the proportion of cases that were identified and subsequently reported to the system, which can be done through register/database reviews. Additionally, examining the percentage of “unknown” or “blank” responses to items on surveillance forms offers a straightforward and effective measure. The evaluation should also address challenges faced in both manual and automated data management. This includes identifying issues such as coding errors or data loss in manual systems, and programming errors or inappropriate data filtering in automated systems. These evaluations help identify gaps in data reporting and ensure that the surveillance system captures all relevant cases accurately.",N/A,attribute,Parent: Data quality,data completeness and correctness (completeness),N/A,,Parent: Data quality,data completeness and correctness (completeness),N/A,"coverage, accuracy","accuracy, consistency, acceptability, representativeness, timeliness, data collection, data analysis, data management and storage, usefulness, cost",,,,,45846,TRUE,0.2
Review complete (discussed),TRUE,TRUE,FALSE,N/A,TRUE,TRUE,6,compliance,Compliance,"The degree to which the surveillance system complies with all relevant legislation, regulations and policies, including ethics and confidentiality requirements.","The degree to which the surveillance system complies with all relevant legislation, regulations and policies, including ethics and confidentiality requirements.","Degree to which the surveillance system complies with all relevant legislation, regulations and policies, including ethics and confidentiality requirements.",N/A,"Compliance refers to meeting required legal or regulatory requirements, often with external oversight. It is closely related to adherence, but differs in focus. While compliance focuses on relevant legislation, regulations and policies, including ethics and security, adherence is centred around internal consistency in following best practices and operational protocols. Beyond adherence, compliance is also tied to other data quality attributes/terms, and is positively correlated with consistency ans technical competence and training.","The concept of compliance was identified twice in our scoping review. However, the overarching concept referred to here was only identified by Yang et al., (2022), with components of this definition being referenced multiple times throughout the literature (e.g., legislative support, security, ethical considerations).","To evaluate compliance, system security policies and practices should be reviewed to ensure that security levels and procedures for surveillance system data or system access are defined and enforced. Data use and release policies and protocol should be available for review, and access to the surveillance system software applications should be controlled. [Need to add information about legislative support/policies and ethics].",N/A,attribute,"Child: Legislative support, security (privacy and confidentiality), ethics",N/A,legislative support,,"Child: Legislative support, security (privacy and confidentiality), ethics",N/A,legislative support,adherence,"adherence, data quality, data management and storage, security, technical competence and training, governance, acceptability",,,,,45846,,0.2
Consensus [Reviewed],FALSE,FALSE,TRUE,Synonym/sub-attribute,FALSE,FALSE,9,,Confidence,"Output confidence relates to the accuracy of the event-based biosurveillance results. It is used to evaluate the likelihood that the confidence interval contains the true result. This attribute helps evaluate whether the event-based biosurveillance generates estimates at specific intervals with some degree of probability. Confidence also facilitates the evaluation of estimates for frequency and probability distributions (Corley 2012).

Reliability - (Confidence in data) Confidence in the reliability of the information (Auer 2011).",N/A,"Output confidence relates to the accuracy of the event-based biosurveillance results. It is used to evaluate the likelihood that the confidence interval contains the true result. This attribute helps evaluate whether the event-based biosurveillance generates estimates at specific intervals with some degree of probability. Confidence also facilitates the evaluation of estimates for frequency and probability distributions (Corley 2012).

Reliability - (Confidence in data) Confidence in the reliability of the information (Auer 2011).",N/A,N/A,,,To fold under precision - subattribute. Confidence as a synonym or see also for trust. Auer 2011 concept to be reported as confidence. To circle back on decide on who to classify.,,Parent: Precision,N/A,N/A,,Parent: Precision,N/A,N/A,Accuracy,Accuracy,,,,,,,
Consensus [Reviewed],FALSE,FALSE,TRUE,Synonym/sub-attribute,FALSE,FALSE,6,,Confidentiality,"Privacy and data confidentiality requirements for the collection, storage, backup, transport and retrieval of information (especially over the internet), based on relevant standards and guidelines (Yang 2022).",,TBD,N/A,N/A,,,To report separate or merged with other attirbutes?,,,,,,,,,,,,,,,,,
Defered,TRUE,TRUE,FALSE,N/A,TRUE,TRUE,9,consistency,Consistency,"Data have the same meanings (e.g. case definition, diagnosis standards) to allow for consistent interpretation. This includes internal consistency (within a dataset) and external consistency (across different data sources), as well as consistency over time.","Data have the same meanings (e.g. case definition, diagnosis standards) to allow for consistent interpretation. This includes internal consistency (within a dataset) and external consistency (across different data sources), as well as consistency over time.","Data have the same meanings (e.g. case definition, diagnosis standards) to allow for consistent interpretation. This includes internal consistency (within a dataset) and external consistency (across different data sources), as well as consistency over time (Yang 2022).","The uniformity of the data across the surveillance system. It ensures that the same data types, formats, and coding are used consistently over time and across different data sources or reporting entities.","Consistency refers to the uniformity and reliability of data across time and sources within the surveillance system. It ensures that data remain unchanged when replicated, transferred, or integrated between partners. Consistent data collection methods, coding systems, case definitions, and documentation of transformations are essential for comparability and trend analysis.",Consistency was identified five times in our scoping review.,TBD,"Consistency is in data quality, it may come up under ascertainment performance as well - will have to see (or term could be cross-validation, etc.) - working definitions 2 and 3 may be the AP definition. Use specific epidemiology terms for AP. To also review STARD (standard for ascertainment performance classification for epi/health sciences - diagnostic accuracy studies) and RECORD for determining the best term to use with well established standards with different meanings. Consistency and repeatability are both measures of concordance - synonyms?",attribute,"Parent: Data quality, Child: TBD",N/A,"repeatability, precision",,"Parent: Data quality, Child: TBD",N/A,"repeatability, precision",N/A,"accuracy, historical data, data quality, adherence, interoperability, stability and sustainability (Peyre 2019)",,,,,,TRUE,0.1
Consensus [Reviewed],FALSE,FALSE,TRUE,Synonym/sub-attribute,FALSE,FALSE,TBD,,Content,"Input data content is the data specification required by the event-based biosurveillance, such as the quantity and class of data needed to produce meaningful results. The content attribute also spans the quantity and class of other data required of the event-based biosurveillance (eg, demographic, behavioral, and exposure information for the acute emergent event). Additionally, the dependence of the data on other systems or constructs may be included (Corley 2012).

The output content attribute defines what the event- based biosurveillance generates as a product. The output may be qualitative or quantitative and may include probabilities, forecasts, digests, counts, warnings, or lists of outlying observations. The content attribute also spans the quantity and class of data produced by the event-based biosurveillance. If the event-based biosurveillance output lends guidance to other systems, this should be included (Corley 2012).",N/A,"Input data content is the data specification required by the event-based biosurveillance, such as the quantity and class of data needed to produce meaningful results. The content attribute also spans the quantity and class of other data required of the event-based biosurveillance (eg, demographic, behavioral, and exposure information for the acute emergent event). Additionally, the dependence of the data on other systems or constructs may be included (Corley 2012).

The output content attribute defines what the event- based biosurveillance generates as a product. The output may be qualitative or quantitative and may include probabilities, forecasts, digests, counts, warnings, or lists of outlying observations. The content attribute also spans the quantity and class of data produced by the event-based biosurveillance. If the event-based biosurveillance output lends guidance to other systems, this should be included (Corley 2012).",N/A,N/A,,,To include under system description.,,Parent: System description,N/A,N/A,,Parent: System description,N/A,N/A,N/A,N/A,,,,,,,
Review complete (discussed),TRUE,TRUE,FALSE,N/A,TRUE,TRUE,12,costs,Costs,"All expenses associated with the surveillance system, including direct costs (e.g., equipment, personnel) and indirect costs (e.g., training, data management infrastructure).","All expenses associated with the surveillance system, including direct costs (e.g., equipment, personnel) and indirect costs (e.g., training, data management infrastructure).","All expenses associated with the surveillance system, including direct costs (e.g., equipment, personnel) and indirect costs (e.g., training, data management infrastructure).","All expenses associated with the surveillance system, including direct costs (e.g., equipment, personnel) and indirect costs (e.g., training, data management infrastructure)","Cost is a key consideration in evaluating surveillance systems, reflecting their value and efficiency. Costs are both direct (e.g., personnel, data collection, laboratory services, infrastructure) and indirect (e.g., follow-up efforts for false alarms, impact on agency credibility). New or improved systems incur start-up (e.g., software, equipment) and ongoing operational costs (e.g., staff, maintenance). Economic analyses should balance these costs with the public health benefits, such as early outbreak detection and disease prevention, to assess overall value. Direct and indirect costs are usually collected and reported separately.",TBD,"To evaluate costs, all elements of the surveillance system must be considered, including planning, sample collection, analysis, reporting, and dissemination. It's important to distinguish between fixed costs (e.g., permanent staff salaries) and variable costs (e.g., sample collection or reagents). Cost-sharing among stakeholders—such as producers, consumers, and public funds—should also be considered, as these costs can vary across the system.",Change 'cost' to 'economics'?,attribute,Parent: Impact/value,N/A,N/A,,Parent: Impact/value,N/A,N/A,"cost minimization, cost-benefit, cost-effectiveness, cost-utility, benefit","cost minimization, cost-benefit, cost-effectiveness, cost-utility, efficiency, benefits, sustainability",,,,,45859,,0.2
Review complete (discussed),TRUE,TRUE,FALSE,N/A,TRUE,FALSE,12,costMinimization,Cost minimization,"The comparison of costs between alternatives with identical outcomes, used to determine the most economical option when no additional benefits are present (often applied to demonstrate the dominance of one strategy over another).",N/A,TBD,N/A,"Cost-minimization compares the expenses of alternative surveillance strategies that achieve identical outcomes to identify the most economical option. It helps prioritize resource allocation by demonstrating which approach delivers the same public health impact at the lowest cost. This term is closely linked to cost-effectiveness and efficiency, but unlike those, it assumes equivalent benefits across options. Accurate cost data—including fixed and variable costs—are essential. Considering operational, personnel, and infrastructure expenses ensures a comprehensive evaluation, supporting sustainable and affordable surveillance system design without compromising performance.",TBD,TBD,N/A,attribute,Parent: Impact/value,N/A,N/A,N/A,Parent: Impact/value,N/A,N/A,"costs, cost-benefit, cost-effectiveness, cost-utility, benefit","costs, cost-benefit, cost-effectiveness, cost-utility, efficiency, benefits, sustainability",,,,,45859,,0.2
Review complete (discussed),TRUE,TRUE,FALSE,N/A,TRUE,FALSE,12,costBenefit,Cost-benefit,"An analysis where all costs and outcomes are expressed in monetary terms, calculating the net gain or loss by measuring both the costs of an intervention and the monetary value of its outcomes.",N/A,TBD,N/A,"Cost-benefit analysis quantifies both the costs and outcomes of a surveillance system in monetary terms to assess its net economic value. This allows comparison of investments against financial benefits such as reduced disease burden, healthcare savings, or productivity gains. It supports decision-making by highlighting the economic return of surveillance activities relative to their expense. Accurate valuation of outcomes and comprehensive cost accounting—including direct, indirect, fixed, and variable costs—are essential. This term complements cost-effectiveness and cost-minimization analyses by providing a broader economic perspective on surveillance system value.",TBD,TBD,N/A,attribute,Parent: Impact/value,N/A,N/A,N/A,Parent: Impact/value,N/A,N/A,"cost minimization, costs, cost-effectiveness, cost-utility, benefit","cost minimization, costs, cost-effectiveness, cost-utility, efficiency, benefits, sustainability",,,,,45859,,0.2
Review complete (discussed),TRUE,TRUE,FALSE,N/A,TRUE,FALSE,12,costEffectiveness,Cost-effectiveness,"Relationship between the expected outcomes and the costs of surveillance to achieve these outcomes. Surveillance system costs include direct costs (personnel and material resources), indirect costs (resulting from preparedness and response to surveillance findings), and prevention benefits or costs from a societal perspective (e.g., effects of the information generated on decision making and population health).

Refers to the relative expenditures (costs) and outcomes (effects) of different surveillance strategies, determining whether the improved health outcomes or surveillance capabilities justify the associated costs to help inform efficient resource allocation decisions (kirsh 2008 adpated for surveillance).",N/A,"Relationship between the expected outcomes and the costs of surveillance to achieve these outcomes. Surveillance system costs include direct costs (personnel and material resources), indirect costs (resulting from preparedness and response to surveillance findings), and prevention benefits or costs from a societal perspective (e.g., effects of the information generated on decision making and population health",N/A,"The costs of obtaining surveillance information needs to be balanced against the benefits derived. Assessment of surveillance resources typically focuses on direct costs. Because of the complexity of surveillance and response processes, it is usually difficult to define indirect costs. For some infectious disease surveillance systems, investigators have modeled the expected future costs of strategies for continued vaccination, surveillance, and other public health activities. Efforts to improve sensitivity, positive predictive value, representativeness, timeliness, and stability can increase the cost of a surveillance system.",TBD,TBD,N/A,attribute,Parent: Impact/value,N/A,N/A,N/A,Parent: Impact/value,N/A,N/A,"cost minimization, cost-benefit, costs, cost-utility, benefit","cost minimization, cost-benefit, costs, cost-utility, effectiveness, benefits, sustainability",,,,,45859,,0.2
Review complete (discussed),TRUE,TRUE,FALSE,N/A,TRUE,FALSE,12,costUtility,Cost-utility,"An evaluation that compares the system's interventions or strategies by measuring outcomes in terms of utility gained, using a ratio scale to assess the value of different health states or surveillance outcomes, allowing for comparison across various surveillance approaches and their impact on public health.",N/A,TBD,N/A,"Cost-utility analysis compares surveillance strategies by measuring outcomes in terms of utility, often using quality-adjusted life years (QALYs) or disability-adjusted life years (DALYs). This allows valuation of health benefits considering both quantity and quality of life gained from interventions. It facilitates comparison across diverse surveillance approaches with different health impacts, integrating effectiveness and economic costs into a single metric. Accurate utility measurement requires reliable health state valuation and comprehensive cost data. This term complements cost-benefit and cost-effectiveness analyses by focusing on health-related quality of life, supporting informed resource allocation in public health surveillance.",TBD,TBD,N/A,attribute,Parent: Impact/value,N/A,N/A,N/A,Parent: Impact/value,N/A,N/A,"cost minimization, cost-benefit, cost-effectiveness, costs, benefit","cost minimization, cost-benefit, cost-effectiveness, costs, efficiency, benefits, sustainability",,,,,45859,,0.2
Review complete (discussed),TRUE,TRUE,FALSE,N/A,TRUE,TRUE,7,coverage,Coverage,Proportion of the population of interest (target population) or proportion of areas of interest (e.g. specific habitats or high- risk sites) that is included in the surveillance activity.,Proportion of the population of interest (target population) or proportion of areas of interest (e.g. specific habitats or high- risk sites) that is included in the surveillance activity.,Proportion of the population of interest that is included in the surveillance activity.,"The proportion of the target population that is effectively monitored by the surveillance system, ensuring representative data collection.","Coverage indicates the extent to which the target population or geographic areas are included in surveillance. High coverage enhances representativeness, sensitivity, and early detection—especially for emerging threats. It is related to sampling strategy, reporting completeness, and access to high-risk populations. Mathematically, coverage is the proportion the same represents divided by the total target population size.","Coverage was identified as a reported concept six times in our scoping review. The concept was first introduced by Hoinville et al., in 2013 and has since been consistently included in animal health surveillance system evaluation frameworks. The definition has remained highly consistent within animal health surveillance, aligning with the concept of ""population coverage"" in public health surveillance.","Coverage can be assessed by the proportion of respondents (survey-based) or cases (hospital- or facility-based) included in the surveillance system. Key measurements include population undercoverage, which occurs when parts of the target population are missed, and population overcoverage, where elements outside the target population are included. A demographic analysis can provide benchmarks for assessing completeness of coverage in the existing surveillance data and document changes in coverage from previous periods. Additionally, systems like farmer-based clinical surveillance, syndromic surveillance, or periodic sampling surveys benefit from regular evaluations to identify gaps or misrepresentation in coverage. By reviewing the geographic coverage and the number of areas of interest, it is easier to determine if the surveillance system adequately represents the target population. Furthermore, temporal coverage can be assess by determining the conditional probability that any given unit in the population will be examined or tested within the specified time frame. For example, if the target time frame is 7 days, but testing occurs every 4 weeks, the temporal coverage would be 25%. An assessment of coverage could include: * Characterisation and qualitative comparison of the sampled and target populations. Alternatively, comparison of sampled areas or habitats versus areas or habitats of interest. * Where sufficient data on the target population/areas or habitats of interest exists, simple calculations of the proportional coverage can be made (e.g. 75% of the national herd and 45% of cattle holdings are sampled annually or 30% of the marine ports). * Where sufficient information on the background population, or high-risk areas or habitats respectively, is lacking, more sophisticated sampling designs might be employed (e.g. capture-recapture analysis or drop camera surveillance). * Considering whether the target population, or area of interest, has been adequately defined (i.e. whether the exclusion of certain animals or holdings or sites is merited). * The unit of interest - the level at which coverage is measured - is often the unit of interest of surveillance (e.g. animal, holding, high-risk site or specific marine habitat). If insufficient data exist, alternative perspectives might be desired. Coverage might then be assessed at other aggregate levels (e.g. geographical areas) or relevant intermediate steps in the surveillance pathway (e.g. the proportion of veterinary practices submitting diagnostic samples). * In certain contexts it may be worth establishing a timeframe of reference (e.g. annual coverage). The choice of timeframe should reflect the epidemiology of the disease or life history of a risk organism.","Representativeness and coverage separate for scoping, maybe combine for Delphi? To include coverage - to be useful for ES. Representativeness represents human health more. Coverage represents animal and One Health more. To review completeness with respect to coverage to see if there is any overlap on a system-level. Temperal coverage is probalby better included and discussed within other terms -- or perhaps reported as a separate term for the scoping review.",attribute,"Parent: Inclusion, evidence quality/ascertainment performance, Child: Size, source, species, density",N/A,representativeness?,,"Parent: Inclusion, evidence quality/ascertainment performance, Child: Size, source, species, density",N/A,representativeness?,representativeness,"representativeness, data collection, completeness, accuracy?",,,,,,,0.1
Consensus [Reviewed],FALSE,FALSE,TRUE,Exact synonym,FALSE,FALSE,1,dataAccessibility,Data accessibility,,,TBD,N/A,N/A,,,N/A,,,Accessibility (data),,,,Accessibility (data),,,,,,,,,,
Review pending,TRUE,TRUE,FALSE,N/A,FALSE,TRUE,,credibilityData,Credibility (data),N/A,"The degree to which data are regarded as true and believable by users in a specific context of use, includes the concept of authenticity (the truthfulness of origins, attributions, commitments, etc.).",,N/A,TBD,TBD,TBD,"Credibility may be more important for collaboration, partnerships, communication, etc. To have credibility (data) and credibility (collaboration), etc.? To not identify data credibility in first review - to include for Delphi.",N/A,Parent: Data quality,N/A,N/A,,Parent: Data quality,N/A,N/A,N/A,TBD,,,,,,,0.1
Review pending,TRUE,TRUE,FALSE,N/A,FALSE,TRUE,,credibilityCollaboration,Credibility (collaboration),N/A,TBD,,N/A,TBD,TBD,TBD,"Credibility may be more important for collaboration, partnerships, communication, etc. To have credibility (data) and credibility (collaboration), etc.? To not identify data credibility in first review - to include for Delphi.",N/A,Parent: Collaboration,N/A,N/A,,Parent: Collaboration,N/A,N/A,N/A,TBD,,,,,,,0.1
Review pending,TRUE,TRUE,FALSE,N/A,TRUE,TRUE,TBD,dataAnalysis,Data analysis,The use of appropriate methods for the analysis and interpretation of data.,Appropriate methods are used for the analysis and interpretation of data.,"Appropriate methods are used for analysis and interpretation of data (Muellner 2018, Drewe 2015, Velasova 2015, Hoinville 2013).",N/A,"<++Data analysis applies scientific methods to process surveillance data to generate insights such as detecting unusual patterns (i.e. outbreaks, signal levels beyond expected). Methods range from basic descriptive statistics and trend monitoring to more sophisticated approaches like time series, spatial analysis, and automated aberration detection algorithms. ++>  <-- assesses how effectively surveillance data are processed and interpreted to generate insights. -- > High-performing systems apply appropriate, context-specific analytical methods and ensure findings are actionable.","Data analysis was cited as a concept in surveillance system evaluation nine times in the literature, spanning public health, animal health, and One Health surveillance system evaluation frameworks. The definition remains largely consistent, <++ relfecting uniformity across disciplines, with refinment over time, to emphasize the use of contextual information (e.g., prior likelihood of disease) in risk-based analysis and the need for analysis/interpretation to be performed timely to support decision-making and action. ++>","The evaluation of the data analysis attribute/term focuses on assessing the methods used to analyze surveillance data. It includes identifying the techniques applied, such as basic statistics, trend analysis, or more advanced methods like time series and spatial analyses. The evaluation checks if the limitations of the data have been properly considered and addressed in the analysis. Additionally, it evaluates whether the data is being fully utilized or if there are opportunities for further analysis. Reviewing past user needs and whether the analysis methods have met these demands is also important to ensure the analysis is delivering valuable, actionable insights. An evaluation of data analysis should include: The identification of the analysis methods applied to surveillance data: * No analysis * Basic descriptive statistics * Examination of trends * More sophisticated statistical approaches (e.g. time series analyses, spatial analyses); An assessment of whether the limitations of data have been understood and accounted for in statistical analyses?; An indication as to whether the body of data available is being fully exploited or could further use of data be made? It may help to review requirements for information made by users of the surveillance data in the past, to determine whether their needs were met by the methods applied.",To report all data- terms separate for scoping review.,attribute,"Parent: TBD, Child: TBD",N/A,N/A,,"Parent: TBD, Child: TBD",N/A,N/A,"data collection, data management and storage","data collection, data management and storage, communication and dissemination, impact",,,,,,,0.1
Review pending,TRUE,TRUE,FALSE,N/A,TRUE,TRUE,TBD,dataCollection,Data collection,"The use of appropriate data sources and collection methods, including a clear a case definition and a data collection protocol.",The use of appropriate data sources and collection methods <<?? -- keep the defintion short and move the following to the description?? and the existence of a case definition and a data collection protocol. -->,"The use of appropriate data sources and collection methods and the existence of a case definition and a data collection protocol (Muellner 2018, Drewe 2015, Velasova 2015, Hoinville 2013).",N/A,"Effective data collection relies on clearly defined and complete case definitions or risk organism descriptions, including case signalment, clinical and pathological signs, and epidemiological information, and, where relevant, laboratory or taxonomic identification. Diagnostic methods must align with the case definition and be assessed for sensitivity and specificity. A written protocol should guide data and sample collection, with mechanisms to ensure adherence. Data collection methods should be clearly documented, and collection methods should minimize redundancy, address data gaps, and employ appropriate sampling strategies (e.g., risk-based or pooled).","Data collection is a fundamental surveillance activity consistently recognized in evaluation frameworks across public, animal, and One Health systems (five instances within the literature review). Data collection was explicitly mentioned as a concept in the evaluation of surveillance systems in five instances within the literature, including a clear definition and integration into the animal health surveillance field. It is commonly cited as the most costly and difficult component of a surveillance system to implement (Chaudron, 2010; Peyre et al. 2022).","Questions to consider when assessing data and information collection include: * Is there (if applicable) a written case definition/organism description for this surveillance system that is clearly defined and complete, with specified inclusion and exclusion criteria? If so  Does the case definition/organism description include relevant details of the case signalment, clinical and pathological signs and epidemiological information as appropriate?  Does the case definition include laboratory diagnosis? Alternatively does the organism description include taxonomic ID?  Are the chosen diagnostic/taxonomic methods appropriate to the case definition/organism description, including in terms of samples being collected?  Are syndromes used and - if yes - defined in an appropriate way?  In those sectors where symptomatic surveillance is * Is there (if applicable) a written case definition/organism description for this surveillance system that is clearly defined and complete, with specified inclusion and exclusion criteria? If so undertaken, are symptoms clearly defined for when samples need to be taken? * Is there a written sample and/or data collection protocol and are there appropriate assurance mechanisms to ensure the protocols are followed? * Have the sensitivity and specificity of the tests used been assessed (where relevant)? * Are there data collected that are not used in analysis, interpretation or surveillance management (redundancy)? * Are there information needs for which data are not currently collected and feasibly could be? * Are appropriate sampling strategies used, including the use of risk-based approaches and pooled sampling? This could include risk-based requirement calculations or risk- based sampling. The basis of the risks used in the design of the risk-based sampling strategy should be reviewed. Data collection methods should be clearly documented. It may help to review demands for information made by users of the surveillance data in the past, to determine whether their needs were met by the data available.",To report all data- terms separate for scoping review.,attribute,"Parent: TBD, Child: Case definitions",N/A,N/A,,"Parent: TBD, Child: Case definitions",N/A,N/A,"data analysis, data management and storage","case definitions, adherence, representativeness, coverage, accuracy, completeness, data management and storage, laboratory and sample management",,,,,,,0.1
Review pending,TRUE,TRUE,FALSE,N/A,FALSE,FALSE,9,dataCorrectness,Data correctness,The proportion of data entries that correctly reflect the true value of the data collected.,N/A,"Proportion of the data that was intended to be collected that actually was (data completeness), and the proportion of data entries that correctly reflect the true value of the data collected (data correctness).",N/A,N/A - data completeness and correctness is an exact synonym for data quality.,TBD,TBD,To highlight the fact that data completeness and correctness in animal studies is the exact synonym to data quality in public health studies.,N/A,"Parent: TBD, Child: Completeness, accuracy, precision, consistency, historical data, timeliness?","accuracy (correctness), completeness, data quality",N/A,N/A,"Parent: TBD, Child: Completeness, accuracy, precision, consistency, historical data, timeliness?","accuracy (correctness), completeness, data quality",N/A,N/A,"completeness, accuracy, precision, consistency, historical data, credibility, timeliness, acceptability, representativeness",,,,,,,0.1
,FALSE,FALSE,TRUE,Duplicative,FALSE,FALSE,,dataManagement,Data management,,,Appropriate use and documentation of data management systems for processing information (Drewe 2015).,,,,,,,,,,,,,,,,,,,,,,
