id,theme_code,covidence_num,reported_concept_id,zotero_citation_key,study_id,year,reported_concept_parent,extracted_field,extracted_category,reported_concept,domain_code,sub_domain_code,mapped_parent_term,parent_domain,attribute_sequence_with_versioning,[ARCHIVE - no variable] reported_concept_def,reported_concept_def,notes,domain_notes,concept_eval_methods,concept_meas_consid,concept_eval_criteria,concept_is_primary,extraction_confidence,source_synonyms,scr_term,delphi_term,scr_group,scr_subgroup,scr_attribute,consensus_attribute,scr_criteria,scr_status,consensus_theme,consensus_domain,consensus_sub-domain,consensus_criteria,related_concept
22,6,5678,RC_C5678_D02_SD00_A01,thackerMethodEvaluatingSystems1988,Thacker 1988,1988,Quality,Acceptability,Attribute,Acceptability,,,#N/A,,1,"Acceptability is measured by the willingness of persons conducting surveillance and those providing data to generate accurate, consistent and timely data.","Acceptability is measured by the willingness of persons conducting surveillance and those providing data to generate accurate, consistent and timely data.", ,,"The quantitative assessment of acceptability of a surveillance system has never been carefully conducted. 

Because refusal to participate and incompleteness are not sufficient evidence of the unacceptability of a surveillance system, more careful evaluation of this attribute should be developed.","The acceptability of a particular system - especially one that is voluntary - is dependent upon the perceived public health importance of the health event under surveillance, recognition of the individual's contribution to the system as it relates to control and prevention, and the time burden relative to available time. Surveillance methods must also be acceptable to those who provide the data. 

The individuals working at each step in the surveillance system must be willing to collect and handle the relevant data in a prescribed manner. As new systems are developed, the burden on data handlers must be ascertained and the impact of modifications In surveillance must be 
taken into account.",N/A,,,Participation,acceptability,acceptabilityAndEngagement,Functional attributes,System function attributes,Acceptability and engagement (also known as participation),acceptability,Pending,Pending,Collaboration,Operations actors; System stakeholders,N/A,N/A,Timeliness; Data quality
55,5,5678,RC_C5678_D01_SD00_A01,thackerMethodEvaluatingSystems1988,Thacker 1988,1988,Usefulness and cost,Cost,Attribute,Cost,,,#N/A,,1,The cost of a system includes indirect as well as direct costs. and should be measured in relation to the benefits obtained.,The cost of a system includes indirect as well as direct costs. and should be measured in relation to the benefits obtained., ,,N/A,"Surveillance can be costly, particularly in the development of new systems or the enhancement of current ones. One can assess current systems in terms of costs and benefits and can apply the lessons from these efforts to further surveillance activities. The economic analysis of surveillance systems has received little methodical attention apart from the accounting of direct costs to health agencies. To assess direct and indirect costs, all elements of a surveillance system, including data collection, analysis and dissemination, must be identified and costs assigned to them. To calculate a benefit/cost ratio, the benefits such as illness prevented can be estimated, including the reduction of medical-care costs and of time lost from school or work.",N/A,,,N/A,costs,costs,Value attributes,System performance attributes,Cost,costs,Pending,Pending,Financial performance and resources,Cost,N/A,N/A,Pending
98,4,2749,RC_C2749_D00_SD00_A02,thackerPublicHealthSurveillance1988,Thacker 1988,1988,N/A,Flexibility,Attribute,Flexibility,,,#N/A,,2,CDC 1988,CDC 1988, ,,N/A,N/A,N/A,,,flexibility,flexibility,flexibility,Functional attributes,System function attributes,Flexibility (also known as adaptability),adaptability,Pending,Pending,Integration and stability,Resiliency,N/A,N/A,Pending
123,6,5678,RC_C5678_D02_SD00_A02,thackerMethodEvaluatingSystems1988,Thacker 1988,1988,Quality  ,Flexibility,Attribute,Flexibility,,,#N/A,,1,"Flexibility is a measure of the ability of a surveillance system to be easily adapted to new reporting needs in response to changes in the nature or the importance of the health event, the population monitored, or the available resources. ","Flexibility is a measure of the ability of a surveillance system to be easily adapted to new reporting needs in response to changes in the nature or the importance of the health event, the population monitored, or the available resources. ", ,,This flexibility Is a desirable feature of a surveillance system and is best assessed as new health problems emerge or alternative Intervention strategies are adopted. The flexibility of a surveillance system can be assessed by the additional costs involved in modifying the system in some way. ,Flexibility can also be observed at another level. A surveillance system that can be used for monitoring new or emerging problems can be seen as flexible. ,N/A,,,flexibility,flexibility,flexibility,Functional attributes,System function attributes,Flexibility (also known as adaptability),adaptability,Pending,Pending,Integration and stability,Resiliency,N/A,N/A,Pending
,,5678,RC_C5678_D01_SD00_A00,thackerMethodEvaluatingSystems1988,Thacker 1988,1988,N/A,Z_Domain_01,Domain,Cost and usefulness,1,,,1,,N/A,N/A,,N/A,,,,,,,missing,,,,,,,,,,,,
150,4,2749,RC_C2749_D00_SD00_A03,thackerPublicHealthSurveillance1988,Thacker 1988,1988,N/A,Predictive Value Positive (PVP),Attribute,Predictive Value Positive (PVP),,,#N/A,,3,CDC 1988,CDC 1988, ,,N/A,N/A,N/A,,,Precision,positivePredicitiveValue,positivePredicitiveValue,Effectiveness attributes,Evidence quality attributes,Predictive Value Positive (PVP),predictive value positive (PVP),Pending,Pending,Surveillance effectiveness,Data quality,Ascertainment performance,N/A,Pending
179,4,2749,RC_C2749_D00_SD00_A04,thackerPublicHealthSurveillance1988,Thacker 1988,1988,N/A,Representativeness,Attribute,Representativeness,,,#N/A,,4,CDC 1988,CDC 1988, ,,N/A,N/A,N/A,,,N/A,representativeness,representativeness,Functional attributes,Inclusion attributes,Representativeness,representativeness,Pending,Pending,Surveillance effectiveness,System performance,Equity-related,N/A,bias
203,6,5678,RC_C5678_D02_SD00_A03,thackerMethodEvaluatingSystems1988,Thacker 1988,1988,Quality  ,Representativeness,Attribute,Representativeness,,,#N/A,,2,A surveillance system that is representative accurately observes both the occurrence of e health event over time and the distribution by person and place of that event in the population at any point time.,A surveillance system that is representative accurately observes both the occurrence of e health event over time and the distribution by person and place of that event in the population at any point time., ,,"To measure representativeness one can compare surveillance data covering pan of a population to a sample assumed to be complete (e.g. death certificates for selected fatal events) or a random sample of the population at risk (e.g. the Health lnterview Survey of the National Center for Health Statistics) 
","If a surveillance system collects reports on essentially all occurrences of a health event (e g. total deaths to a vital registrar) then the system is by definition representative and further assessment of this attribute is not necessary.

The importance of the degree of representativeness depends on its possible effect on the public health response. The report of a few cases of a disease may trigger appropriate control efforts ; non-representative reports may focus prevention activities away from populations at high risk. A precise assessment of representativeness requires carefully designed studies to obtain complete and accurate data for the health event in question.",N/A,,,N/A,representativeness,representativeness,Functional attributes,Inclusion attributes,Representativeness,representativeness,Pending,Pending,Surveillance effectiveness,System performance,Equity-related,N/A,bias
215,4,2749,RC_C2749_D00_SD00_A05,thackerPublicHealthSurveillance1988,Thacker 1988,1988,N/A,Sensitivity,Attribute,Sensitivity,,,#N/A,,5,CDC 1988,CDC 1988, ,,N/A,N/A,N/A,,,recall,sensitivity,sensitivity,Effectiveness attributes,Evidence quality attributes,Sensitivity,sensitivity,Pending,Pending,Surveillance effectiveness,Data quality,Ascertainment performance,N/A,Pending
236,6,5678,RC_C5678_D02_SD00_A04,thackerMethodEvaluatingSystems1988,Thacker 1988,1988,Quality  ,Sensitivity,Attribute,Sensitivity,,,#N/A,,3,"Sensitivity is defined as the ability of a surveillance system to detect true health events. Health events may be defined as (a) instances in which persons have a particular health problem or risk factor ; (b) a more narrowly defined subset of (a) (e.g. fatal events); or, more broadly, as (c) an epidemic of a particular health event. ","Sensitivity is defined as the ability of a surveillance system to detect true health events. Health events may be defined as (a) instances in which persons have a particular health problem or risk factor ; (b) a more narrowly defined subset of (a) (e.g. fatal events); or, more broadly, as (c) an epidemic of a particular health event. ", ,,"Quantitatively, sensitivity is the ratio of the total number of health events detected by the system over the total number of true health events as determined by an independent and more complete means of ascertainment (Fig. 1).","In published reports, sensitivity has been termed completeness of reporting and has been studied more than the other six attributes.

A variety of activities and circumstances will have an impact on sensitivity. 

The level of sensitivity can also vary to address specific programme goals. When control activities are contingent upon the identification and reporting of every case (e.g. the late stages of the international smallpox eradication campaign and the United States Measles Elimination 
Program) sensitivity is the critical criterion for assessing a surveillance system.",N/A,,,recall,sensitivity,sensitivity,Effectiveness attributes,Evidence quality attributes,Sensitivity,sensitivity,Pending,Pending,Surveillance effectiveness,Data quality,Ascertainment performance,N/A,Pending
246,4,2749,RC_C2749_D00_SD00_A06,thackerPublicHealthSurveillance1988,Thacker 1988,1988,N/A,Simplicity,Attribute,Simplicity,,,#N/A,,6,CDC 1988,CDC 1988, ,,N/A,N/A,N/A,,,N/A,simplicity,simplicity,Functional attributes,System function attributes,Simplicity,simplicity,Pending,Pending,Integration and stability,Resiliency,N/A,N/A,Pending
259,5,5678,RC_C5678_D02_SD00_A05,thackerMethodEvaluatingSystems1988,Thacker 1988,1988,Quality  ,Simplicity,Attribute,Simplicity,,,#N/A,,4,Simplicity in a system means it is easy to understand and implement.,Simplicity in a system means it is easy to understand and implement., ,,N/A,"Simplicity should be a guiding principle for epidemiological surveillance. Simple systems are easy to understand and implement, cost less than complex systems, and provide flexibility. At the same time. surveillance systems should not be so simple that they provide data that are not useful or may even be misleading. The impact that an Increase In the complexity of a surveillance system would have on effective use of the system must be weighted against its Increased cost. In a voluntary system, Increased reporting burden might have a deleterious effect on the level of cooperation and productivity of those who report data. If the addition of information to a surveillance form compromises data quality or causes delays in data collection, the public health value of that system will diminish. Before asking for additional information, the impact of this added burden on these health departments should first be assessed in terms of data quality and reporter acceptance (see below).",N/A,,,N/A,simplicity,simplicity,Functional attributes,System function attributes,Simplicity,simplicity,Pending,Pending,Integration and stability,Resiliency,N/A,N/A,Pending
278,5,2749,RC_C2749_D00_SD00_A07,thackerPublicHealthSurveillance1988,Thacker 1988,1988,N/A,Specificity,Attribute,Specificity,,,#N/A,,7,CDC 1988,CDC 1988, ,,N/A,"Increasing the sensitivity of a system to detect a greater proportion of a given health event in a population may also improve representativeness and usefulness of the system, yet may lead to greater cost, lower specificity, and more false positive events.",N/A,,,N/A,specificity,specificity,Effectiveness attributes,Evidence quality attributes,Specificity,specificity,Pending,Pending,Surveillance effectiveness,Data quality,Ascertainment performance,N/A,Pending
285,6,5678,RC_C5678_D02_SD00_A06,thackerMethodEvaluatingSystems1988,Thacker 1988,1988,Quality  ,Specificity,Attribute,Specificity,,,#N/A,,5,Specificity is a measure of how infrequently a system detects false-positive health events.,Specificity is a measure of how infrequently a system detects false-positive health events., ,,"Quantitatively, it is the number of individuals identified by the system as not being diseased or not having a risk factor divided by the number of all parsons who truly do not have the disease or risk factor of interest (Fig. 1).

Given these difficulties in ascertainment, determination of the number of misclassified cases or false positives can be used as a measure of tho failure of the system to correctly classify health events In Fig. 1 the false-positive rate is B/ A + B.","When applied to surveillance, specificity can be difficult to determine if the total population at risk Is unknown. General population data may be available, but if a large portion of the population is not at risk (e.g. immune) the use of the total population as a denominator will provide an overestimate of specificity. Use of the true population at risk provides a more accurate estimate. 

A high rate of false positivity suggests that the system may be too sensitive (ie. the case definition in use is too permissive). While resources may be wasted in tracking these Incorrectly classified reports. the system may still be useful if the risk to public heath of a missed case is great (e.g. parathion contamination of a commercial food product).

Specificity, like sensitivity, can be applied to epidemics. Pseudo-epidemics (false positives) ore not common, but recognition of such situations is important to avoid unnecessary concern of the lay and medical community, to identify previously unrecognized laboratory problems, and to minimize the misuse of resources.",N/A,,,N/A,specificity,specificity,Effectiveness attributes,Evidence quality attributes,Specificity,specificity,Pending,Pending,Surveillance effectiveness,Data quality,Ascertainment performance,N/A,Pending
312,4,2749,RC_C2749_D00_SD00_A08,thackerPublicHealthSurveillance1988,Thacker 1988,1988,N/A,Timeliness,Attribute,Timeliness,,,#N/A,,8,CDC 1988,CDC 1988, ,,N/A,N/A,N/A,,,N/A,timeliness,timeliness,Effectiveness attributes,Evidence quality attributes,Timeliness,timeliness,Pending,Pending,Surveillance effectiveness,Data quality,N/A,N/A,accessibility
