review_status,doug_checked,carol_checked,exclude,excl_reason,incl_scr,incl_delphi,review_group,term_name,term_label,scr_def,delphi_def,working_def,def_doug,term_description,term_background,eval_methods,team_notes,scr_is_a,scr_relationships,scr_exact_synonym,scr_broad_synonym,delphi_is_a,delphi_relationships,delphi_exact_synonym,delphi_broad_synonym,delphi_see_also,data_visualization_related,obo_id,uri,terms_example,ontology,last_updated,Data quality,version
Not reported in PRQ1,FALSE,FALSE,TRUE,Exclude - not reported in PRQ1,FALSE,FALSE,TBD,,Many separate attributes,,,TBD,The consideration of multiple distinct characteristics or performance measures when evaluating the overall quality and effectiveness of a surveillance system.,N/A,,,N/A,,,,,,,,,,,,,,,,,
Review pending,FALSE,TRUE,FALSE,N/A,TRUE,TRUE,4,multipleUtility,Multiple utility,The ability of a surveillance system to capture information on several hazards; measure of how generic the system is.,The ability of a surveillance system to capture information on several hazards; measure of how generic the system is.,The ability of a surveillance system to capture information on several diseases or health conditions.,"Multi-use: The capability of the surveillance system to serve multiple public health functions or monitor various health conditions simultaneously, maximizing its utility and cost-effectiveness.","Multiple utility describes a surveillance system's capacity to collect information on several hazards, reflecting how generic and adaptable it is. Systems with high multiple utility can support various surveillance objectives, improving cost-effectiveness and overall value. This term is positively linked to acceptability, sustainability, flexibility, and cos. Both realised and potential multiple utility should be assessed to identify opportunities for improvement. Systems with broad, representative designs generally offer greater multiple utility than those narrowly focused on specific risks.",TBD,"An assessment of multiple utility should consider: - What additional information is or could be gathered during sample collection (eg on animal health or husbandry and demographics)? - What other types of samples are or could be collected at the time of sampling? - What other diseases are or could be tested for with the samples collected? - How long are samples stored following testing and could they be used for other purposes (including other research purposes)? For a surveillance system to offer value to other diseases or information needs, the objectives and processes of the system should be aligned to other systems. So it may be expected that more simple systems are likely to have more potential for multiple utility. For example, a simple random survey of holdings, repeated annually and with good coverage and representativeness could be useful for various diseases; whereas a risk-based design aimed at a specific threat may be of limited value for other diseases with differing epidemiology. ","Doug prefers multi-use versus multiple utility. Multiple use [to use term for Delphi, not reported concept for scoping]. Multiple hazard is a child/synonym to multiple utility.",attribute,Child: Multiple hazard,multiple hazard,N/A,,Child: Multiple hazard,multiple hazard,N/A,"flexibility, portability","flexibility, portability, interoperability, sustainability, acceptability and engagement, costs",,,,,,,0.1
Review pending,FALSE,TRUE,FALSE,pending,TRUE,TRUE,13,mutualBenefit,Mutual benefit,The capability of the surveillance system to create opportunities where collaborations can benefit both the system and its partners/collaborators.,The capability of the surveillance system to create opportunities where collaborations can benefit both the system and its partners/collaborators.,The capability of the surveillance system to create opportunities where collaborations can benefit both the system and its partners/collaborators (Yang 2022).,"A system designed with a common aim where relevant information is shared among stakeholders to ensure mutual understanding of objectives, requirements, and data flow. It fosters collaborations that benefit both the surveillance system and its partners by aligning expectations and creating shared value","Mutual Benefit refers to the extent to which all collaborators gain value from participating in the surveillance system. This includes the availability of shared data infrastructure, clarity in roles and responsibilities, and the fostering of trusted relationships. Mutual understanding of privacy, confidentiality, and security processes supports sustained cooperation. Systems that enable data exchange and define partner benefits are more likely to promote long-term collaboration and stakeholder engagement.",TBD,TBD,N/A,attribute,Parent: Collaboration,N/A,N/A,,Parent: Collaboration,N/A,N/A,collaboration,"collaboration, governance, acceptability and engagement, impact",,,,,,,0.1
Review pending,FALSE,TRUE,FALSE,N/A,TRUE,TRUE,8,negativePredictiveValue,Negative predictive value (NPV),The probability that no health event is present given that no health event is detected. ,The probability that no health event is present given that no health event is detected. ,The probability that no health-related event is present given that no cases are detected.,The probability that individuals identified as not having a disease or condition by the surveillance system truly do not have it.,"Negative predictive value (NPV) reflects the likelihood that a negative surveillance result truly indicates absence of condition, hazard, or event under surveillance. A high NPV suggests few false negatives and supports confidence in the system's ability to rule out threats when no signal is detected. NPV is influenced by the system's sensitivity, specificity, and the prevalence of the condition in the population. IIt applies acros various public health surveillance modalities, including lagroatory, syndomic, environmental, and even-based approaches, and should be considered alongside sensitivity and positive predictive value.",TBD,TBD,To report all for scoping review. To potentially look at the whole group for the Delphi or potentially further collapse some.,attribute,Parent: Evidence quality/ascertainment performance,N/A,N/A,,Parent: Evidence quality/ascertainment performance,N/A,N/A,positive predictive value,"positive predictive value, negative predictive value, sensitivity, specificity",,,,,,,0.1
,FALSE,FALSE,TRUE,Exclude - not reported in PRQ1,FALSE,FALSE,13,,Operational plan,,,TBD,"A detailed framework outlining the day-to-day processes, responsibilities, and resources needed to run the surveillance system effectively.",N/A,,,N/A,,Parent: Collaboration,N/A,N/A,,Parent: Collaboration,N/A,N/A,Governance,Governance,,,,,,,
,FALSE,FALSE,TRUE,Exact synonym,FALSE,FALSE,13,,Partnerships,"Whether long-term formal connections are in place (Haworth-Brockman 2021, Bingle 2005). ",N/A,TBD,"The role of formal partnerships, multidisciplinary involvement, and structured collaboration mechanisms in supporting effective surveillance efforts",N/A,,,N/A,,N/A,collaboration,N/A,,N/A,collaboration,N/A,N/A,N/A,,,,,,,
Review pending,FALSE,TRUE,FALSE,pending,TRUE,FALSE,6,performanceMonitoringAndEvaluation,Performance monitoring and evaluation,"The routine use of performance indicators to monitor surveillance system performance, and the periodic use of internal or external evaluations to assess system outputs in relation to stated objectives.",N/A,TBD,N/A,"Performance monitoring and evaluation assesses the extent to which the surveillance system uses performance indicators and scheduled evaluations to track progress, measure effectiveness, and ensure accountability. This includes regular internal monitoring and external assessments of system components, including data quality, timeliness, sensitivity, and stakeholder collaboration. Performance monitoring and evaluation supports system transparency, enables corrective actions, and contributes to long-term improvement. It is closely linked to effectiveness, efficiency, impact, and sustainability.",TBD,TBD,N/A,attribute,Parent: TBD ,N/A,N/A,N/A,Parent: TBD ,N/A,N/A,N/A,"governance, acceptability and engagement",,,,,,,0.1
Review pending,FALSE,TRUE,FALSE,pending,TRUE,TRUE,TBD,technicalCompetenceAndTraining,Technical competence and training,"Refers to the technical skills of the personnel involved in the surveillance system, including access to relevant training.","Refers to the technical skills of the personnel involved in the surveillance system, including access to relevant training.","Technical skills of the personnel involved in the surveillance system, including access to relevant training (Muellner 2018).","The combination of technical skills and the readiness of technology for operational use in surveillance systems. It involves providing relevant initial and ongoing training to ensure that personnel can effectively implement and maintain the system. This includes the assessment of technology maturity (technology readiness levels) and continuous skill development, which leads to improved system performance, enhanced data quality, and increased knowledge of surveillance functions.","The combination of the technical skills, knowledge, and capacities required by personnel to effectively implement and sustain a surveillance system, supported by access to appropriate initial and ongoing training programs. It encompasses the ability to perform system functions accurately, ensure data quality, and engage in collaborative activities, thereby enhancing the overall performance and reliability of the surveillance system",TBD,TBD,N/A,attribute,Parent: TBD,N/A,N/A,,Parent: TBD,N/A,N/A,laboratory and sample management,"laboratory and sample management, accuracy, adherence, data collection, data analysis, data management and storage",,,,,,,0.1
Reviewed - finalization pending discussion of ascertainment performance,TRUE,TRUE,FALSE,N/A,TRUE,TRUE,11,timeliness,Timeliness,The time between any two steps in the surveillance process. ,The time between any two steps in the surveillance process. ,The time between any two defined steps in a surveillance system.,"The speed and promptness with which the surveillance system collects, analyzes, and disseminates data to support timely public health action.","Timeliness refers to the speed at which data are collected, reported, analyzed, and used to guide public health action. The required level of timeliness depends on the health event—rapid reporting is critical for acute, highly transmissible diseases, while less urgent conditions may allow for slower reporting. Timeliness is influenced by surveillance system design, resource availability, and event complexity. Delays in lab results or data flow can hinder timely response, especially in resource-limited settings. It must be balanced with accuracy and completeness and aligned with surveillance goals such as outbreak detection, trend monitoring, or long-term planning.",TBD,TBD,"For timeliness definition, use between two steps for both - but emphasize PH action and how it relates to other aspects, latency to be criteria under timeliness.",attribute,"Parent: TBD, Child: Latency, response time, surveillance data timeliness",N/A,N/A,,"Parent: TBD, Child: Latency, response time, surveillance data timeliness",N/A,N/A,N/A,"accessibility (data), usability, acceptability and engagement, technical competence and training, simplicity, data collection, data analysis, data management and storage, impact",,,,,,TRUE,0.1
Review pending,FALSE,TRUE,FALSE,N/A,FALSE,TRUE,,traceabilityData,Traceability (data),N/A,The degree to which data provide an audit trail of access to the data and of any changes made to the data in a specific context of use.,,N/A,TBD,TBD,TBD,Traceability (data quality) and traceability (system) - relates more to compliance. Traceability to be a concept within transparency? Traceability more data quality? Transparency more system-level?,N/A,"Parent: TBD, Child: TBD",N/A,N/A,,"Parent: TBD, Child: TBD",N/A,N/A,N/A,TBD,,,,,,,0.1
Review pending,FALSE,TRUE,FALSE,N/A,TRUE,TRUE,12,transparency,Transparency,The extent to which information can be and is shared across member agencies.,"The extent to which information is shared with stakeholders and end-users about the system's data collection methods, analysis techniques, and associated limitations.","Surveillance strategies, methodologies and activities are planned and revised following a well-established, sound and transparent approach and process (Yang 2022).

Extent to which information can be and is shared across member agencies (Innes 2022).","The openness and clarity in communicating the surveillance system's data collection methods, analysis techniques, and limitations to users and stakeholders.","Transparency refers to how openly the surveillance system shares information about its data collection methods, analysis processes, and limitations with stakeholders and end-users. High transparency builds trust, supports data interpretation, and facilitates informed decision-making. Challenges include inconsistent or delayed data sharing, which can reduce stakeholder confidence and limit timely responses. Transparency is linked to terms like acceptability and usefulness, as clear communication of methods and constraints helps users understand system strengths and weaknesses. ",TBD,"Measurement may involve assessing frequency, clarity, and accessibility of data reports and documentation.",Traceability to be a concept within transparency? Traceability more data quality? Transparency more system-level?,attribute,"Parent: TBD, Child: TBD",N/A,N/A,,"Parent: TBD, Child: TBD",N/A,N/A,N/A,TBD,,,,,,,0.1
Review pending,FALSE,TRUE,FALSE,N/A,TRUE,TRUE,2,usability,Usablity,Data and products produced by the surveillance system should be tailored to meet the needs of intended users.,Data and products produced by the surveillance system should be tailored to meet the needs of intended users.,Data and products produced by the surveillance system are tailored to meet the needs of intended users.,"The ease with which users can access, understand, and apply the surveillance system's data and outputs for their intended purposes.","Usability assesses whether surveillance data and products are tailored to meet the needs of intended users. High usability involves clear documentation (data dictionaries, manuals), minimal training requirements, and system workflows that align with user practices. It also considers how well data interpretations (e.g., statistics) are communicated, including accessibility features like language, cultural relevance, and format. The ability to stratify data by relevant factors (age, sex, geography) enhances usefulness. Regular user feedback guides system improvements. Usability links closely with acceptability and usefulness, influencing how effectively data informs public health actions.",TBD,TBD,Slightly broader concept - maybe a subdomain in the future? Groseclose and Yang used the term. Has more alignment with availability and use of data. Usability straddles usefulness and effectiveness. Can they access the information in order to make policy decisions.,attribute,"Parent: TBD, Child: TBD",N/A,N/A,,"Parent: TBD, Child: TBD",N/A,N/A,"usefulness, communication dissemination","usefulness, effectiveness, impact, accessibility (data), communication dissemination, interoperability, data collection, data analysis, data management and storage",,,,,,,0.1
Review pending,FALSE,TRUE,FALSE,N/A,TRUE,FALSE,2,usefulness,Usefulness,"[Wasn't sure how much we would want to frame this definition around public health]. The extent to which the system has benefited the end-users and led to specific public health actions, either in the form of assessments or measures. [OR] A public health surveillance system is useful if it contributes to the prevention and control of adverse health-related events, including an improved understanding of the public health implications of such events .",N/A,"Usefulness: Ability of the surveillance system to directly and indirectly contribute to the prevention and control of the health-related event under surveillance.

Usefulness: The practical value and application of the surveillance system's outputs in supporting public health actions, policy decisions, and health improvements.","The practical value and application of the surveillance system's outputs in supporting public health actions, policy decisions, and health improvements.","Usefulness reflects the system’s impact on preventing or controlling adverse health events and informing public health action. It is demonstrated through real-world outcomes, such as policy changes, early outbreak detection, or targeted interventions. Usefulness depends on how well outputs meet stakeholder needs and influence decision-making. Retrospective analysis and stakeholder input help assess alignment with health priorities. This attribute is closely tied to sensitivity, timeliness, and data completeness, which together enhance the system’s value in guiding effective, evidence-based responses.",TBD,TBD,N/A,attribute,"Parent: TBD, Child: TBD",impact,N/A,N/A,"Parent: TBD, Child: TBD",impact,N/A,effectiveness,"usability, effectiveness, efficiency, impact, usability, sensitivity, timeliness, representativeness, flexibility, acceptability, completeness",,,,,,,0.1
,FALSE,FALSE,TRUE,Synonym/sub-attribute,FALSE,FALSE,2,,Utility,"Describes how useful, profitable, or beneficial surveillance is in relation to its objectives and describes the changes that have been made based on the outputs provided by the surveillance system (Muellner 2018).",,"Describes how useful, profitable, or beneficial surveillance is in relation to its objectives and describes the changes that have been made based on the outputs provided by the surveillance system (Muellner 2018).",N/A,N/A,,,N/A,,"Parent: TBD, Child: TBD",N/A,"Impact, usefulness",,"Parent: TBD, Child: TBD",N/A,"Impact, usefulness","Usefulness, effectiveness, impact","Usefulness, effectiveness, impact",,,,,,,
Consensus [Reviewed - Not a Main Term],FALSE,FALSE,TRUE,Exact synonym,FALSE,FALSE,9,N/A,Validity (data),,,External validity: Relates to whether the information recorded about the health-related event is correct and exact when compared to an external database. Evaluating external validity implies measurment against a 'gold standard' value. Internal validity: Relates to the extent of errors within the surveillance system.,How well data measurement conforms to a reference or known values.,N/A,,,Precision and accuracy to be reported within data quality for Delphi.,,"Parent: TBD, Child: TBD",N/A,N/A,,"Parent: TBD, Child: TBD",N/A,N/A,N/A,N/A,,,,,,,
